keyframe,file,t_seconds,sharpness
0,kf_00000.jpg,0.0,974.2
1,kf_00001.jpg,1.01,910.3
2,kf_00002.jpg,1.6,845.0
3,kf_00003.jpg,2.0,851.7
4,kf_00004.jpg,2.6,791.7
5,kf_00005.jpg,3.61,805.9
6,kf_00006.jpg,4.22,898.7
7,kf_00007.jpg,4.81,958.5
8,kf_00008.jpg,5.23,962.5
9,kf_00009.jpg,6.03,968.0
10,kf_00010.jpg,6.43,1032.1
11,kf_00011.jpg,7.23,1022.3
12,kf_00012.jpg,7.44,889.7
13,kf_00013.jpg,8.45,943.1
14,kf_00014.jpg,9.04,950.1
15,kf_00015.jpg,9.65,973.4
16,kf_00016.jpg,9.86,985.4
17,kf_00017.jpg,10.86,507.6
18,kf_00018.jpg,11.46,510.4
19,kf_00019.jpg,11.66,509.2
20,kf_00020.jpg,12.46,511.8
21,kf_00021.jpg,12.86,395.7
22,kf_00022.jpg,13.87,164.0
23,kf_00023.jpg,14.08,178.1
24,kf_00024.jpg,15.09,349.9
25,kf_00025.jpg,15.28,455.3
26,kf_00026.jpg,16.08,552.6
27,kf_00027.jpg,16.69,656.7
28,kf_00028.jpg,17.49,763.6
29,kf_00029.jpg,17.69,330.7
30,kf_00030.jpg,18.7,432.9
31,kf_00031.jpg,19.31,833.0
32,kf_00032.jpg,19.5,895.2
33,kf_00033.jpg,20.3,325.3
34,kf_00034.jpg,20.72,354.1
35,kf_00035.jpg,21.71,717.3
36,kf_00036.jpg,21.92,461.4
37,kf_00037.jpg,22.53,843.7
38,kf_00038.jpg,23.53,637.8
39,kf_00039.jpg,23.73,483.2
40,kf_00040.jpg,24.73,384.0
41,kf_00041.jpg,25.34,1151.7
42,kf_00042.jpg,25.53,493.4
43,kf_00043.jpg,26.14,532.3
44,kf_00044.jpg,27.15,779.4
45,kf_00045.jpg,27.76,1026.3
46,kf_00046.jpg,28.35,1013.5
47,kf_00047.jpg,28.96,756.5
48,kf_00048.jpg,29.17,734.5
49,kf_00049.jpg,29.76,962.1
50,kf_00050.jpg,30.57,852.4
