t_seconds,frame,keyframe,label,source,clock
0.28,1,0,hazard,arduino,15:51:41
0.69,1,0,hazard,arduino,15:51:41
1.11,2,1,hazard,arduino,15:51:41
1.53,2,1,hazard,arduino,15:51:42
1.94,2,1,hazard,arduino,15:51:42
2.37,3,2,hazard,arduino,15:51:43
2.83,3,2,hazard,arduino,15:51:43
3.24,4,3,hazard,arduino,15:51:44
3.68,4,3,hazard,arduino,15:51:44
4.11,4,3,hazard,arduino,15:51:44
4.54,5,4,hazard,arduino,15:51:45
4.99,5,4,hazard,arduino,15:51:45
5.41,6,5,hazard,arduino,15:51:46
5.83,6,5,hazard,arduino,15:51:46
6.24,7,6,hazard,arduino,15:51:47
6.66,7,6,hazard,arduino,15:51:47
7.08,7,6,hazard,arduino,15:51:47
40.65,40,39,hazard,arduino,15:52:21
41.06,40,39,hazard,arduino,15:52:21
41.48,41,40,hazard,arduino,15:52:22
41.9,41,40,hazard,arduino,15:52:22
42.31,42,41,hazard,arduino,15:52:23
42.73,42,41,hazard,arduino,15:52:23
43.15,42,41,hazard,arduino,15:52:24
44.53,44,43,hazard,arduino,15:52:25
44.94,44,43,hazard,arduino,15:52:25
45.36,45,44,hazard,arduino,15:52:26
45.78,45,44,hazard,arduino,15:52:26
98.96,97,96,hazard,arduino,15:53:19
99.91,98,97,hazard,arduino,15:53:20
116.75,114,113,hazard,arduino,15:53:37
122.02,119,118,hazard,arduino,15:53:42
122.44,120,119,hazard,arduino,15:53:43
122.85,120,119,hazard,arduino,15:53:43
123.27,120,119,hazard,arduino,15:53:44
123.69,121,120,hazard,arduino,15:53:44
124.1,121,120,hazard,arduino,15:53:44
124.52,122,121,hazard,arduino,15:53:45
124.94,122,121,hazard,arduino,15:53:45
125.35,122,121,hazard,arduino,15:53:46
125.77,123,122,hazard,arduino,15:53:46
126.19,123,122,hazard,arduino,15:53:47
126.61,124,123,hazard,arduino,15:53:47
127.02,124,123,hazard,arduino,15:53:47
127.44,124,123,hazard,arduino,15:53:48
127.86,125,124,hazard,arduino,15:53:48
128.27,125,124,hazard,arduino,15:53:49
128.69,126,125,hazard,arduino,15:53:49
129.14,126,125,hazard,arduino,15:53:50
129.6,127,126,hazard,arduino,15:53:50
131.69,129,128,hazard,arduino,15:53:52
132.1,129,128,hazard,arduino,15:53:52
132.52,129,128,hazard,arduino,15:53:53
